1	sum	3.1819	3.2	
2	et	2.6938	5.9	
3	in	2.1867	8.1	
4	qui	2.1721	10.2	
5	que	2.0896	12.3	
6	is	1.3741	13.7	
7	ad	1.1131	14.8	
8	cum	1.0468	15.9	
9	ab	0.8812	16.7	
10	ut	0.8642	17.6	
11	non	0.7725	18.4	
12	hic	0.763	19.1	
13	sui	0.6811	19.8	
14	suus	0.5871	20.4	
15	neque	0.5857	21.0	
16	atque	0.557	21.5	
17	omnis	0.5504	22.1	
18	ex	0.5127	22.6	
19	res	0.504	23.1	
20	quam	0.4834	23.6	
21	ille	0.466	24.1	
22	facio	0.4335	24.5	
23	ipse	0.4323	24.9	
24	possum	0.4058	25.3	
25	si	0.4028	25.7	
26	magnus	0.3852	26.1	
27	tu	0.3836	26.5	
28	per	0.3778	26.9	
29	romanus	0.3694	27.3	
30	sed	0.3622	27.6	
31	de	0.3494	28.0	
32	habeo	0.3486	28.3	
33	ego	0.3403	28.7	
34	aut	0.3359	29.0	
35	hostis	0.322	29.3	
36	bellum	0.3139	29.6	
37	do	0.3009	29.9	
38	rex	0.297	30.2	
39	pars	0.2878	30.5	
40	alius	0.287	30.8	
41	multus	0.2734	31.1	
42	primus	0.2539	31.3	
43	urbs	0.2492	31.6	
44	dico	0.2491	31.8	
45	dies	0.2457	32.1	
46	castrum	0.2352	32.3	
47	ne	0.2341	32.5	
48	fero	0.2275	32.8	
49	quis	0.2232	33.0	
50	mitto	0.2205	33.2	
51	iam	0.2203	33.4	
52	locus	0.2144	33.6	
53	etiam	0.212	33.9	
54	consulis	0.2092	34.1	
55	idem	0.2081	34.3	
56	tamen	0.2034	34.5	
57	tempus	0.2	34.7	
58	exercitus	0.1989	34.9	
59	quo	0.1986	35.1	
60	miles	0.1975	35.3	
61	animus	0.1972	35.5	
62	quoque	0.1937	35.7	
63	tantus	0.1881	35.9	
64	unus	0.186	36.0	
65	video	0.1818	36.2	
66	meus	0.1818	36.4	
67	capio	0.1781	36.6	
68	ne	0.1757	36.8	
69	inter	0.1746	36.9	
70	noster	0.1667	37.1	
71	enim	0.1658	37.3	
72	ita	0.1637	37.4	
73	senatus	0.1616	37.6	
74	duo	0.159	37.7	
75	causa	0.1587	37.9	
76	ago	0.1577	38.1	
77	tuus	0.1573	38.2	
78	pro	0.157	38.4	
79	annus	0.1543	38.5	
80	homo	0.1542	38.7	
81	eques	0.1526	38.8	
82	inde	0.1516	39.0	
