    1 qui             3.303% ( 3.3%) 
    2 in              2.327% ( 5.6%) 
    3 et              2.042% ( 7.7%) 
    4 is              1.549% ( 9.2%) 
    5 ad              1.540% (10.8%) 
    6 sui             1.266% (12.0%) 
    7 cum             1.253% (13.3%) 
    8 atque           1.251% (14.5%) 
    9 ab              1.193% (15.7%) 
   10 edo             1.146% (16.9%) 
   11 hic             1.127% (18.0%) 
   12 sum             1.099% (19.1%) 
   13 ex              1.050% (20.1%) 
   14 ut              0.891% (21.0%) 
   15 magnus          0.721% (21.8%) 
   16 non             0.664% (22.4%) 
   17 omne            0.661% (23.1%) 
   18 facio           0.623% (23.7%) 
   19 eo              0.593% (24.3%) 
   20 possum          0.578% (24.9%) 
   21 neque           0.546% (25.4%) 
   22 caesar          0.522% (25.9%) 
   23 legio           0.499% (26.4%) 
   24 hostis          0.472% (26.9%) 
   25 ito             0.468% (27.4%) 
   26 noster          0.455% (27.8%) 
   27 suo             0.449% (28.3%) 
   28 oppidum         0.422% (28.7%) 
   29 ipse            0.415% (29.1%) 
   30 de              0.411% (29.5%) 
   31 habeo           0.411% (29.9%) 
   32 res             0.411% (30.4%) 
   33 equito          0.407% (30.8%) 
   34 quis            0.393% (31.2%) 
   35 locus           0.380% (31.5%) 
   36 mitto           0.370% (31.9%) 
   37 copia           0.354% (32.3%) 
   38 pars            0.352% (32.6%) 
   39 castra          0.347% (33.0%) 
   40 si              0.345% (33.3%) 
   41 castro          0.328% (33.6%) 
   42 venio           0.326% (34.0%) 
   43 bellus          0.318% (34.3%) 
   44 tempus          0.310% (34.6%) 
   45 neo             0.309% (34.9%) 
   46 idem            0.304% (35.2%) 
   47 exerceo         0.302% (35.5%) 
   48 video           0.298% (35.8%) 
   49 ille            0.296% (36.1%) 
   50 reliquus        0.295% (36.4%) 
   51 aut             0.294% (36.7%) 
   52 reor            0.290% (37.0%) 
   53 unus            0.276% (37.3%) 
   54 cognosco        0.272% (37.5%) 
   55 sed             0.268% (37.8%) 
   56 causa           0.266% (38.1%) 
   57 civitas         0.260% (38.3%) 
   58 loco            0.259% (38.6%) 
   59 miles           0.252% (38.8%) 
   60 caesaris        0.250% (39.1%) 
   61 per             0.249% (39.3%) 
   62 suum            0.246% (39.6%) 
   63 recipio         0.243% (39.8%) 
   64 omnes           0.241% (40.1%) 
   65 dies            0.239% (40.3%) 
   66 praesidium      0.237% (40.5%) 
   67 milito          0.230% (40.8%) 
   68 mille           0.226% (41.0%) 
   69 jubeo           0.225% (41.2%) 
   70 relinquo        0.221% (41.4%) 
   71 duo             0.217% (41.7%) 
   72 longus          0.213% (41.9%) 
   73 primus          0.211% (42.1%) 
   74 do              0.204% (42.3%) 
