1	qui	2.892	2.9	
2	que	2.357	5.2	
3	in	2.274	7.5	
4	sum	2.182	9.7	
5	is	2.013	11.7	
6	et	1.993	13.7	
7	ad	1.503	15.2	
8	cum	1.278	16.5	
9	sui	1.277	17.8	
10	atque	1.222	19.0	
11	ab	1.164	20.2	
12	hic	1.092	21.2	
13	ex	0.99	22.2	
14	omnis	0.96	23.2	
15	ut	0.87	24.1	
16	suus	0.84	24.9	
17	res	0.803	25.7	
18	magnus	0.665	26.4	
19	castrum	0.659	27.0	
20	non	0.648	27.7	
21	locus	0.583	28.3	
22	caesaris	0.562	28.8	
23	possum	0.56	29.4	
24	facio	0.541	29.9	
25	neque	0.533	30.5	
26	caesar	0.51	31.0	
27	legio	0.487	31.5	
28	pars	0.474	31.9	
29	hostis	0.461	32.4	
30	noster	0.434	32.8	
31	miles	0.424	33.3	
32	oppidum	0.412	33.7	
33	de	0.401	34.1	
34	ipse	0.395	34.5	
35	habeo	0.394	34.9	
36	dies	0.387	35.2	
37	mitto	0.355	35.6	
38	eques	0.35	35.9	
39	copia	0.33	36.3	
40	reliquus	0.318	36.6	
41	venio	0.317	36.9	
42	quam	0.312	37.2	
43	bellum	0.309	37.5	
44	exercitus	0.308	37.8	
45	tempus	0.302	38.1	
46	idem	0.297	38.4	
47	si	0.293	38.7	
48	video	0.292	39.0	
49	ne	0.288	39.3	
50	ille	0.288	39.6	
51	aut	0.287	39.9	
52	multus	0.282	40.2	
53	pompeius	0.275	40.4	
54	quo	0.273	40.7	
55	unus	0.269	41.0	
56	cognosco	0.265	41.2	
57	iter	0.263	41.5	
58	sed	0.262	41.8	
59	causa	0.26	42.0	
60	civitas	0.255	42.3	
61	proelium	0.244	42.5	
62	per	0.243	42.8	
63	romanus	0.24	43.0	
64	recipio	0.237	43.3	
65	praesidium	0.232	43.5	
66	iubeo	0.211	43.7	
67	consilium	0.209	43.9	
68	duo	0.205	44.1	
69	primus	0.203	44.3	
70	longus	0.203	44.5	
71	legatus	0.201	44.7	
72	superus	0.198	44.9	
73	numerus	0.197	45.1	
74	do	0.19	45.3	
75	flumen	0.183	45.5	
76	tantus	0.181	45.7	
77	relinquo	0.179	45.8	
78	tamen	0.178	46.0	
79	ita	0.178	46.2	
80	navis	0.176	46.4	
81	capio	0.176	46.6	
82	gallia	0.176	46.7	
83	mille	0.174	46.9	
84	munitio	0.173	47.1	
85	opus	0.173	47.2	
86	acies	0.171	47.4	
87	multitudo	0.168	47.6	
88	cohors	0.168	47.8	
89	animus	0.168	47.9	
90	etiam	0.162	48.1	
91	coepio	0.162	48.2	
92	nullus	0.161	48.4	
93	homo	0.159	48.6	
94	fero	0.158	48.7	
95	navo	0.154	48.9	
96	ibi	0.154	49.0	
97	paucus	0.152	49.2	
98	alius	0.149	49.3	
99	dico	0.148	49.5	
100	finis	0.145	49.6	
101	inter	0.145	49.8	
102	existimo	0.142	49.9	
103	auxilium	0.141	50.1	
104	provincia	0.141	50.2	
105	celer	0.141	50.3	
106	cogo	0.137	50.5	
107	nox	0.136	50.6	
108	virtus	0.135	50.7	
109	ante	0.134	50.9	
110	quis	0.133	51.0	
111	contendo	0.132	51.1	
112	constituo	0.132	51.3	
113	fuga	0.13	51.4	
114	enim	0.13	51.5	
115	iam	0.129	51.7	
116	pro	0.129	51.8	
117	arma	0.126	51.9	
118	pervenio	0.126	52.0	
119	sine	0.122	52.2	
120	fio	0.122	52.3	
121	itaque	0.122	52.4	
122	interim	0.121	52.5	
123	quisque	0.121	52.7	
124	gero	0.121	52.8	
125	alter	0.119	52.9	
126	peto	0.118	53.0	
127	paruus	0.116	53.1	
128	pugno	0.116	53.2	
129	frumentum	0.115	53.4	
130	propter	0.115	53.5	
131	impero	0.115	53.6	
132	teneo	0.114	53.7	
133	ubi	0.114	53.8	
134	advenio	0.114	53.9	
135	uti	0.113	54.0	
136	contra	0.113	54.2	
137	signum	0.112	54.3	
138	accipio	0.11	54.4	
139	complures	0.109	54.5	
140	totus	0.107	54.6	
141	impetus	0.107	54.7	
142	autem	0.106	54.8	
143	certus	0.103	54.9	
144	convenio	0.103	55.0	
145	discedo	0.102	55.1	
146	rex	0.102	55.2	
147	contineo	0.102	55.3	
148	classis	0.099	55.4	
149	vis	0.099	55.5	
150	circiter	0.099	55.6	
151	propior	0.098	55.7	
152	ago	0.097	55.8	
153	murus	0.097	55.9	
154	pono	0.097	56.0	
155	nam	0.096	56.1	
156	transeo	0.096	56.2	
157	proficisco	0.096	56.3	
158	interficio	0.094	56.4	
159	adversarius	0.094	56.5	
160	equitatus	0.093	56.6	
161	ratio	0.092	56.7	
162	instruo	0.092	56.8	
163	passus	0.092	56.9	
164	tum	0.09	56.9	
165	munio	0.089	57.0	
166	subeo	0.089	57.1	
167	adduco	0.088	57.2	
168	prohibeo	0.088	57.3	
169	interfacio	0.088	57.4	
170	dimitto	0.088	57.5	
171	imperium	0.087	57.6	
172	spes	0.087	57.6	
173	spatium	0.086	57.7	
174	verus	0.085	57.8	
175	animadverto	0.085	57.9	
176	manus	0.084	58.0	
177	publicus	0.083	58.1	
178	facilis	0.083	58.1	
179	timor	0.082	58.2	
180	armo	0.081	58.3	
181	populis	0.081	58.4	
182	apud	0.081	58.5	
183	conficio	0.081	58.6	
184	consto	0.081	58.6	
185	instituo	0.08	58.7	
186	regio	0.08	58.8	
187	ne	0.08	58.9	
188	victoria	0.08	59.0	
189	accedo	0.08	59.0	
190	defendo	0.079	59.1	
191	deduco	0.079	59.2	
192	insequor	0.079	59.3	
193	duco	0.079	59.4	
194	turris	0.078	59.4	
195	confero	0.077	59.5	
196	post	0.077	59.6	
197	perterreo	0.077	59.7	
198	fere	0.077	59.7	
199	salus	0.077	59.8	
200	fortuna	0.076	59.9	
201	sequor	0.075	60.0	
202	periculum	0.075	60.0	
203	absum	0.075	60.1	
204	annus	0.074	60.2	
205	sustineo	0.074	60.3	
206	ager	0.074	60.3	
207	volo	0.074	60.4	
208	impedio	0.073	60.5	
209	genus	0.072	60.6	
210	nihil	0.072	60.6	
211	collis	0.072	60.7	
212	occupo	0.071	60.8	
213	portus	0.071	60.8	
214	dum	0.071	60.9	
215	littera	0.071	61.0	
216	centurio	0.071	61.1	
217	secundus	0.071	61.1	
218	sub	0.071	61.2	
219	L.	0.071	61.3	
220	equito	0.071	61.3	
221	efficio	0.07	61.4	
222	consuetudo	0.07	61.5	
223	demonstro	0.07	61.6	
224	simul	0.07	61.6	
225	senatus	0.07	61.7	
226	natura	0.069	61.8	
227	appello	0.069	61.8	
228	posterus	0.069	61.9	
229	porta	0.069	62.0	
230	volo	0.068	62.0	
231	labor	0.068	62.1	
232	summus	0.068	62.2	
233	scipio	0.068	62.2	
234	pes	0.067	62.3	
235	committo	0.067	62.4	
236	fides	0.067	62.4	
237	italia	0.067	62.5	
238	tueor	0.066	62.6	
239	urbs	0.066	62.6	
240	proficiscor	0.066	62.7	
241	gravis	0.066	62.8	
242	utor	0.066	62.8	
243	potestas	0.066	62.9	
244	pons	0.066	63.0	
245	mons	0.066	63.0	
246	amplus	0.065	63.1	
247	nuntio	0.065	63.2	
248	liber	0.065	63.2	
249	ordo	0.065	63.3	
250	tertius	0.065	63.4	
251	telum	0.064	63.4	
252	princeps	0.064	63.5	
253	conor	0.064	63.6	
254	agmen	0.064	63.6	
255	subsidium	0.063	63.7	
256	milis	0.063	63.7	
257	hibernus	0.063	63.8	
258	gratia	0.063	63.9	
259	item	0.063	63.9	
260	quantus	0.062	64.0	
261	facultas	0.062	64.1	
262	factum	0.062	64.1	
263	quidem	0.062	64.2	
264	colloco	0.062	64.2	
265	pecunia	0.062	64.3	
266	equus	0.062	64.4	
267	quattuor	0.061	64.4	
268	prior	0.061	64.5	
269	tres	0.061	64.5	
270	equitas	0.061	64.6	
271	maris	0.06	64.7	
272	progredior	0.06	64.7	
273	impedimentum	0.06	64.8	
274	vallo	0.06	64.9	
275	at	0.059	64.9	
276	sic	0.059	65.0	
277	arbitror	0.059	65.0	
278	castellum	0.059	65.1	
279	nuntius	0.059	65.1	
280	dux	0.059	65.2	
281	fugio	0.059	65.3	
282	intellego	0.059	65.3	
283	infero	0.059	65.4	
284	regnum	0.059	65.4	
285	confido	0.059	65.5	
286	patior	0.059	65.6	
287	audio	0.059	65.6	
288	dispono	0.058	65.7	
289	tribunus	0.057	65.7	
290	praesum	0.056	65.8	
291	paulum	0.056	65.8	
292	quidam	0.056	65.9	
293	modo	0.056	66.0	
294	obses	0.056	66.0	
295	supra	0.055	66.1	
296	satis	0.055	66.1	
297	cornu	0.055	66.2	
298	rursus	0.055	66.2	
299	rhenus	0.055	66.3	
300	ullus	0.054	66.3	
301	levis	0.054	66.4	
302	conjungo	0.054	66.5	
303	egredior	0.054	66.5	
304	gallus	0.054	66.6	
305	uter	0.053	66.6	
306	obtineo	0.053	66.7	
307	intermitto	0.053	66.7	
308	periculis	0.053	66.8	
309	M.	0.053	66.8	
310	labienus	0.053	66.9	
311	trado	0.053	66.9	
312	domus	0.053	67.0	
313	conspectus	0.053	67.0	
314	conicio	0.053	67.1	
315	traduco	0.053	67.1	
316	silva	0.053	67.2	
317	praeterea	0.052	67.2	
318	paris	0.052	67.3	
319	oppidanus	0.052	67.4	
320	confirmo	0.052	67.4	
321	commeatus	0.052	67.5	
322	nanciscor	0.052	67.5	
323	incendo	0.052	67.6	
324	civis	0.052	67.6	
325	pax	0.052	67.7	
326	aqua	0.051	67.7	
327	amitto	0.051	67.8	
328	revorto	0.051	67.8	
329	vinco	0.05	67.9	
330	adeo	0.05	67.9	
331	accido	0.05	68.0	
332	casus	0.05	68.0	
333	opinio	0.05	68.1	
334	refero	0.05	68.1	
335	imperator	0.05	68.2	
336	valles	0.049	68.2	
337	necessarius	0.049	68.3	
338	magnitudo	0.049	68.3	
339	tu	0.049	68.4	
340	decem	0.048	68.4	
341	affero	0.048	68.5	
342	paro	0.048	68.5	
343	aequus	0.048	68.6	
344	auctoritas	0.048	68.6	
345	nomen	0.048	68.6	
346	reduco	0.048	68.7	
347	inopia	0.047	68.7	
348	nisi	0.047	68.8	
349	perficio	0.047	68.8	
350	amicitia	0.047	68.9	
351	medius	0.047	68.9	
352	finitimus	0.047	69.0	
353	germani	0.047	69.0	
354	tollo	0.046	69.1	
355	quin	0.046	69.1	
356	terra	0.046	69.2	
357	procedo	0.046	69.2	
358	vereor	0.046	69.3	
359	circumvenio	0.046	69.3	
360	germanus	0.046	69.4	
361	uterque	0.046	69.4	
362	quisquam	0.046	69.4	
363	summa	0.046	69.5	
364	usus	0.046	69.5	
365	dimico	0.046	69.6	
366	initium	0.046	69.6	
367	beneficium	0.046	69.7	
368	undique	0.045	69.7	
369	nos	0.045	69.8	
370	exter	0.045	69.8	
371	bonus	0.045	69.9	
372	accidit	0.045	69.9	
373	audeo	0.045	69.9	
374	acer	0.045	70.0	
375	universus	0.045	70.0	
376	dexter	0.044	70.1	
377	postquam	0.044	70.1	
378	sive	0.044	70.2	
379	voluntas	0.044	70.2	
380	paene	0.044	70.2	
381	intra	0.044	70.3	
382	condicio	0.044	70.3	
383	fortis	0.044	70.4	
384	prope	0.044	70.4	
385	incolumis	0.043	70.5	
386	praeficio	0.043	70.5	
387	timeo	0.043	70.6	
388	creber	0.043	70.6	
389	celeritas	0.043	70.6	
390	moveo	0.042	70.7	
391	diu	0.042	70.7	
392	premo	0.042	70.8	
393	clamor	0.042	70.8	
394	propius	0.042	70.9	
395	etsi	0.042	70.9	
396	resisto	0.042	70.9	
397	cassius	0.042	71.0	
398	novus	0.042	71.0	
399	vulnus	0.042	71.1	
400	educo	0.042	71.1	
401	evoco	0.041	71.1	
402	tempestas	0.041	71.2	
403	detrimentum	0.041	71.2	
404	studium	0.041	71.3	
405	V.	0.041	71.3	
406	produco	0.041	71.4	
407	eo	0.041	71.4	
408	eruptio	0.041	71.4	
409	quoque	0.041	71.5	
410	remitto	0.041	71.5	
411	frumentarius	0.041	71.6	
412	reperio	0.04	71.6	
413	oppugnatio	0.04	71.6	
414	postea	0.04	71.7	
415	doceo	0.04	71.7	
416	ius	0.04	71.8	
417	scipio	0.04	71.8	
418	fodio	0.04	71.8	
419	adverro	0.04	71.9	
420	idoneus	0.04	71.9	
421	deligo	0.04	72.0	
422	consisto	0.04	72.0	
423	expedio	0.04	72.0	
424	militaris	0.04	72.1	
425	praemitto	0.04	72.1	
426	pertineo	0.039	72.2	
427	oratio	0.039	72.2	
428	defero	0.039	72.2	
429	magis	0.039	72.3	
430	plerusque	0.039	72.3	
431	inde	0.039	72.4	
432	consumo	0.039	72.4	
433	omnino	0.038	72.4	
434	altitudo	0.038	72.5	
435	ego	0.038	72.5	
436	locum	0.038	72.5	
437	opprimo	0.038	72.6	
438	praeter	0.037	72.6	
439	navus	0.037	72.7	
440	pugna	0.037	72.7	
441	statio	0.037	72.7	
442	vulnero	0.037	72.8	
443	consido	0.037	72.8	
444	compleo	0.037	72.8	
445	sententia	0.037	72.9	
446	vigil	0.037	72.9	
447	nonnullus	0.037	72.9	
448	deicio	0.036	73.0	
449	dignitas	0.036	73.0	
450	occurro	0.036	73.1	
451	pello	0.036	73.1	
452	propono	0.036	73.1	
453	praeda	0.036	73.2	
454	confacio	0.036	73.2	
455	postulo	0.036	73.2	
456	scio	0.036	73.3	
457	augeo	0.035	73.3	
458	officium	0.035	73.3	
459	consuo	0.035	73.4	
460	nemo	0.035	73.4	
461	subsequor	0.035	73.5	
462	respondeo	0.035	73.5	
463	debeo	0.035	73.5	
464	hispania	0.035	73.6	
465	aliquis	0.035	73.6	
466	huc	0.035	73.6	
467	sagittarius	0.034	73.7	
468	aedificium	0.034	73.7	
469	intercludo	0.034	73.7	
470	terror	0.034	73.8	
471	e	0.034	73.8	
472	praemium	0.034	73.8	
473	aditus	0.034	73.9	
474	perturbo	0.034	73.9	
475	maximus	0.034	73.9	
476	barbaris	0.034	74.0	
477	juba	0.034	74.0	
478	administro	0.034	74.0	
479	populus	0.034	74.1	
480	exspecto	0.034	74.1	
481	deditio	0.034	74.1	
482	gallus	0.034	74.2	
483	namque	0.033	74.2	
484	quoniam	0.033	74.2	
485	excipio	0.033	74.3	
486	bene	0.033	74.3	
487	redeo	0.033	74.3	
488	aperio	0.033	74.4	
489	inquam	0.033	74.4	
490	pateo	0.033	74.4	
491	insidiae	0.033	74.5	
492	incommodus	0.033	74.5	
493	Q.	0.033	74.5	
494	profugio	0.033	74.6	
495	excedo	0.033	74.6	
496	angustus	0.032	74.6	
497	difficilis	0.032	74.7	
498	credo	0.032	74.7	
499	difficultas	0.032	74.7	
500	retineo	0.032	74.8	
501	concilio	0.032	74.8	
502	remi	0.032	74.8	
503	cursus	0.032	74.9	
504	sinister	0.032	74.9	
505	ignis	0.032	74.9	
506	supero	0.032	75.0	
507	captivus	0.032	75.0	
508	colloquium	0.032	75.0	
509	ineo	0.032	75.0	
510	filius	0.032	75.1	
511	P.	0.032	75.1	
512	concurro	0.032	75.1	
513	vita	0.032	75.2	
514	frater	0.032	75.2	
515	aedui	0.032	75.2	
516	deinde	0.031	75.3	
517	parvus	0.031	75.3	
518	vel	0.031	75.3	
519	insula	0.031	75.4	
520	telis	0.031	75.4	
521	impono	0.031	75.4	
522	potior	0.031	75.5	
523	reficio	0.031	75.5	
524	earis	0.031	75.5	
525	xxx	0.031	75.5	
526	repentinus	0.031	75.6	
527	puto	0.031	75.6	
528	licet	0.031	75.6	
529	citer	0.031	75.7	
530	lux	0.031	75.7	
531	gero	0.03	75.7	
532	integer	0.03	75.8	
533	alo	0.03	75.8	
534	solus	0.03	75.8	
535	amicus	0.03	75.9	
536	tergum	0.03	75.9	
537	concedo	0.03	75.9	
538	lateo	0.03	75.9	
539	legionarius	0.03	76.0	
540	ripa	0.03	76.0	
541	domo	0.03	76.0	
542	africa	0.03	76.1	
543	polliceor	0.03	76.1	
544	addo	0.03	76.1	
545	marcellus	0.03	76.2	
546	consulis	0.03	76.2	
547	equester	0.03	76.2	
548	palus	0.029	76.2	
549	quaris	0.029	76.3	
550	negotium	0.029	76.3	
551	privo	0.029	76.3	
552	vito	0.029	76.4	
553	proficio	0.029	76.4	
554	caedes	0.029	76.4	
555	repello	0.029	76.4	
556	statuo	0.029	76.5	
557	perfero	0.029	76.5	
558	pedito	0.029	76.5	
559	ceterus	0.029	76.6	
560	praesens	0.029	76.6	
561	spero	0.029	76.6	
562	saepe	0.029	76.7	
563	iniquus	0.029	76.7	
564	ostendo	0.029	76.7	
565	tormentum	0.028	76.7	
566	probo	0.028	76.8	
567	hora	0.028	76.8	
568	maritimus	0.028	76.8	
569	duodecim	0.028	76.9	
570	nosco	0.028	76.9	
571	mos	0.028	76.9	
572	tribuo	0.028	76.9	
573	afficio	0.028	77.0	
574	vehemens	0.028	77.0	
575	antonius	0.028	77.0	
576	gaius	0.028	77.1	
577	cottidianus	0.028	77.1	
578	veteranus	0.028	77.1	
579	mors	0.028	77.1	
580	expello	0.028	77.2	
581	plebs	0.028	77.2	
582	ob	0.028	77.2	
583	pompeianus	0.028	77.2	
584	deficio	0.028	77.3	
585	comparo	0.028	77.3	
586	sex	0.028	77.3	
587	quaero	0.028	77.4	
588	averto	0.028	77.4	
589	adulescens	0.028	77.4	
590	circum	0.028	77.4	
591	iniuria	0.028	77.5	
592	divido	0.027	77.5	
593	tam	0.027	77.5	
594	oneraria	0.027	77.5	
595	semper	0.027	77.6	
596	communio	0.027	77.6	
597	regius	0.027	77.6	
598	circumeo	0.027	77.7	
599	iugum	0.027	77.7	
600	iii	0.027	77.7	
601	perspicio	0.027	77.7	
602	interpono	0.027	77.8	
603	honor	0.027	77.8	
604	perfugio	0.027	77.8	
605	occido	0.026	77.8	
606	diligentia	0.026	77.9	
607	judico	0.026	77.9	
608	dolor	0.026	77.9	
609	dubito	0.026	77.9	
610	exeo	0.026	78.0	
611	aetas	0.026	78.0	
612	vix	0.026	78.0	
613	aliqui	0.026	78.0	
614	sicilia	0.026	78.1	
615	moror	0.026	78.1	
616	lex	0.026	78.1	
617	crassus	0.026	78.1	
618	cottidie	0.025	78.2	
619	inferus	0.025	78.2	
620	orior	0.025	78.2	
621	desum	0.025	78.2	
622	mereo	0.025	78.3	
623	galli	0.025	78.3	
624	paulis	0.025	78.3	
625	oro	0.025	78.3	
626	extra	0.025	78.4	
627	expono	0.025	78.4	
628	provideo	0.025	78.4	
629	magistratus	0.025	78.4	
630	hortor	0.025	78.5	
631	libertas	0.025	78.5	
632	studeo	0.024	78.5	
633	vetus	0.024	78.5	
634	sentio	0.024	78.6	
635	cohortor	0.024	78.6	
636	pereo	0.024	78.6	
637	tego	0.024	78.6	
638	latus	0.024	78.7	
639	permaneo	0.024	78.7	
640	legatio	0.024	78.7	
641	inimicus	0.024	78.7	
642	fama	0.024	78.8	
643	attribuo	0.024	78.8	
644	memoria	0.024	78.8	
645	thos	0.024	78.8	
646	pater	0.024	78.9	
647	pedes	0.024	78.9	
648	trans	0.024	78.9	
649	despero	0.024	78.9	
650	turma	0.024	79.0	
651	mora	0.023	79.0	
652	familia	0.023	79.0	
653	paro	0.023	79.0	
654	succedo	0.023	79.0	
655	calamitas	0.023	79.1	
656	propterea	0.023	79.1	
657	iudicium	0.023	79.1	
658	similis	0.023	79.1	
659	adsum	0.023	79.2	
660	proelio	0.023	79.2	
661	occasio	0.023	79.2	
662	incipio	0.023	79.2	
663	conspicio	0.023	79.3	
664	gladius	0.023	79.3	
665	controversia	0.023	79.3	
666	curo	0.023	79.3	
667	petreius	0.023	79.4	
668	explorator	0.023	79.4	
669	antecedo	0.023	79.4	
670	paulatim	0.022	79.4	
671	distribuo	0.022	79.4	
672	diverto	0.022	79.5	
673	domitius	0.022	79.5	
674	custodia	0.022	79.5	
675	consequor	0.022	79.5	
676	modus	0.022	79.6	
677	scribo	0.022	79.6	
678	supplicium	0.022	79.6	
679	hiems	0.022	79.6	
680	singulis	0.022	79.6	
681	persuadeo	0.022	79.7	
682	commemoro	0.022	79.7	
683	oportet	0.022	79.7	
684	statim	0.022	79.7	
685	antea	0.022	79.8	
686	ultro	0.022	79.8	
687	procul	0.022	79.8	
688	usque	0.022	79.8	
689	arcesso	0.022	79.8	
690	conscendo	0.022	79.9	
691	nocturnus	0.022	79.9	
692	invenio	0.022	79.9	
693	navigium	0.022	79.9	
694	depono	0.022	80.0	
695	refugio	0.022	80.0	
696	confligo	0.022	80.0	
697	expugno	0.022	80.0	
698	incito	0.022	80.0	
699	dedo	0.022	80.1	
700	repens	0.022	80.1	
701	adjungo	0.022	80.1	
702	oppugnaris	0.022	80.1	
703	praetor	0.022	80.1	
704	ulter	0.022	80.2	
705	commodus	0.022	80.2	
706	paucitas	0.022	80.2	
707	loquor	0.022	80.2	
708	mandatum	0.022	80.3	
