    1 qui             3.633% ( 3.6%) 
    2 et              2.537% ( 6.2%) 
    3 in              2.219% ( 8.4%) 
    4 edo             2.101% (10.5%) 
    5 sum             1.726% (12.2%) 
    6 is              1.417% (13.6%) 
    7 non             1.201% (14.8%) 
    8 ut              1.134% (16.0%) 
    9 hic             1.096% (17.1%) 
   10 ad              1.087% (18.2%) 
   11 cum             1.075% (19.2%) 
   12 ab              0.950% (20.2%) 
   13 tu              0.783% (21.0%) 
   14 ego             0.774% (21.7%) 
   15 atque           0.718% (22.5%) 
   16 si              0.712% (23.2%) 
   17 ille            0.677% (23.8%) 
   18 quis            0.658% (24.5%) 
   19 sui             0.630% (25.1%) 
   20 possum          0.614% (25.7%) 
   21 ex              0.611% (26.4%) 
   22 sed             0.594% (26.9%) 
   23 de              0.582% (27.5%) 
   24 eo              0.554% (28.1%) 
   25 omne            0.540% (28.6%) 
   26 neque           0.536% (29.2%) 
   27 dico            0.524% (29.7%) 
   28 ipse            0.519% (30.2%) 
   29 aut             0.514% (30.7%) 
   30 facio           0.498% (31.2%) 
   31 magnus          0.478% (31.7%) 
   32 video           0.477% (32.2%) 
   33 enim            0.410% (32.6%) 
   34 ito             0.404% (33.0%) 
   35 etiam           0.393% (33.4%) 
   36 habeo           0.383% (33.8%) 
   37 res             0.358% (34.1%) 
   38 reor            0.356% (34.5%) 
   39 homo            0.314% (34.8%) 
   40 alius           0.305% (35.1%) 
   41 neo             0.294% (35.4%) 
   42 verus           0.276% (35.7%) 
   43 causa           0.272% (35.9%) 
   44 idem            0.268% (36.2%) 
   45 tamen           0.260% (36.5%) 
   46 autem           0.259% (36.7%) 
   47 modus           0.258% (37.0%) 
   48 nihil           0.255% (37.2%) 
   49 per             0.250% (37.5%) 
   50 quidem          0.243% (37.7%) 
   51 suo             0.239% (38.0%) 
   52 bonus           0.237% (38.2%) 
   53 bellus          0.230% (38.4%) 
   54 volo            0.230% (38.7%) 
   55 multus          0.229% (38.9%) 
   56 primus          0.228% (39.1%) 
   57 do              0.227% (39.4%) 
   58 jam             0.227% (39.6%) 
   59 noster          0.225% (39.8%) 
   60 tuus            0.225% (40.0%) 
   61 tum             0.214% (40.2%) 
   62 venio           0.213% (40.5%) 
   63 tantus          0.211% (40.7%) 
   64 unus            0.207% (40.9%) 
   65 nos             0.203% (41.1%) 
   66 hostis          0.196% (41.3%) 
   67 iste            0.195% (41.5%) 
   68 ago             0.189% (41.7%) 
   69 tempus          0.189% (41.8%) 
   70 nullus          0.188% (42.0%) 
   71 fero            0.185% (42.2%) 
   72 senatus         0.183% (42.4%) 
   73 urbs            0.180% (42.6%) 
   74 redeo           0.176% (42.8%) 
   75 animus          0.170% (42.9%) 
   76 nam             0.162% (43.1%) 
   77 scribo          0.162% (43.3%) 
   78 mitto           0.161% (43.4%) 
   79 populus         0.159% (43.6%) 
   80 puto            0.158% (43.7%) 
   81 consulo         0.157% (43.9%) 
   82 pars            0.156% (44.0%) 
   83 suum            0.149% (44.2%) 
   84 tam             0.146% (44.3%) 
   85 exerceo         0.145% (44.5%) 
   86 nitor           0.144% (44.6%) 
   87 quidam          0.141% (44.8%) 
   88 pro             0.141% (44.9%) 
   89 sino            0.139% (45.0%) 
   90 fio             0.137% (45.2%) 
   91 meus            0.135% (45.3%) 
   92 M.              0.134% (45.5%) 
   93 ante            0.132% (45.6%) 
   94 capio           0.131% (45.7%) 
   95 alter           0.130% (45.8%) 
   96 quisquam        0.130% (46.0%) 
   97 parvus          0.129% (46.1%) 
   98 locus           0.127% (46.2%) 
   99 vis             0.127% (46.4%) 
  100 natura          0.127% (46.5%) 
  101 omnes           0.127% (46.6%) 
  102 inter           0.126% (46.7%) 
  103 lego            0.125% (46.9%) 
  104 consul          0.125% (47.0%) 
  105 civitas         0.124% (47.1%) 
  106 duo             0.121% (47.2%) 
  107 nunc            0.121% (47.4%) 
  108 ratio           0.120% (47.5%) 
  109 dies            0.119% (47.6%) 
  110 audio           0.119% (47.7%) 
  111 littera         0.117% (47.8%) 
  112 judico          0.117% (47.9%) 
  113 publica         0.116% (48.1%) 
  114 igitur          0.116% (48.2%) 
  115 lego            0.114% (48.3%) 
  116 C.              0.113% (48.4%) 
  117 gero            0.113% (48.5%) 
  118 magus           0.113% (48.6%) 
  119 ceter           0.113% (48.7%) 
  120 jubeo           0.113% (48.9%) 
  121 vir             0.112% (49.0%) 
  122 sero            0.111% (49.1%) 
  123 quisque         0.110% (49.2%) 
  124 accipio         0.108% (49.3%) 
  125 totus           0.107% (49.4%) 
  126 L.              0.107% (49.5%) 
  127 quoque          0.107% (49.6%) 
  128 duco            0.107% (49.7%) 
  129 vel             0.106% (49.8%) 
  130 judicium        0.106% (49.9%) 
  131 virtus          0.106% (50.0%) 
  132 deinde          0.106% (50.2%) 
  133 aliqui          0.106% (50.3%) 
  134 deus            0.106% (50.4%) 
  135 quantus         0.106% (50.5%) 
  136 scio            0.105% (50.6%) 
  137 jus             0.105% (50.7%) 
  138 moveo           0.104% (50.8%) 
  139 apud            0.102% (50.9%) 
  140 debeo           0.101% (51.0%) 
  141 rex             0.100% (51.1%) 
  142 rego            0.098% (51.2%) 
  143 certus          0.098% (51.3%) 
  144 quaero          0.098% (51.4%) 
  145 pario           0.098% (51.5%) 
  146 sic             0.097% (51.6%) 
  147 inquam          0.097% (51.7%) 
  148 mille           0.095% (51.8%) 
  149 solus           0.095% (51.9%) 
  150 loco            0.095% (52.0%) 
  151 verbum          0.095% (52.1%) 
  152 relinquo        0.094% (52.1%) 
  153 nomen           0.093% (52.2%) 
  154 ager            0.092% (52.3%) 
  155 provincia       0.092% (52.4%) 
  156 queo            0.092% (52.5%) 
  157 peto            0.092% (52.6%) 
  158 ubi             0.091% (52.7%) 
  159 gener           0.090% (52.8%) 
  160 corpus          0.090% (52.9%) 
  161 vester          0.090% (53.0%) 
  162 oratio          0.088% (53.1%) 
  163 uter            0.088% (53.1%) 
  164 indo            0.087% (53.2%) 
  165 armo            0.087% (53.3%) 
  166 publico         0.087% (53.4%) 
  167 civis           0.086% (53.5%) 
  168 quia            0.085% (53.6%) 
  169 an              0.085% (53.7%) 
  170 meo             0.085% (53.7%) 
  171 romani          0.084% (53.8%) 
  172 castro          0.084% (53.9%) 
  173 intellego       0.083% (54.0%) 
  174 spes            0.082% (54.1%) 
  175 copia           0.082% (54.2%) 
  176 proficio        0.082% (54.2%) 
  177 teneo           0.082% (54.3%) 
  178 P.              0.082% (54.4%) 
  179 contra          0.082% (54.5%) 
  180 pecunia         0.081% (54.6%) 
  181 post            0.081% (54.7%) 
  182 at              0.081% (54.7%) 
  183 sentio          0.080% (54.8%) 
  184 uto             0.080% (54.9%) 
  185 miles           0.080% (55.0%) 
  186 dius            0.080% (55.1%) 
  187 ullus           0.079% (55.1%) 
  188 nemo            0.077% (55.2%) 
  189 tribunus        0.077% (55.3%) 
  190 imperium        0.077% (55.4%) 
  191 sententia       0.076% (55.4%) 
  192 facilis         0.076% (55.5%) 
  193 legio           0.076% (55.6%) 
  194 pono            0.075% (55.7%) 
  195 fortis          0.075% (55.7%) 
  196 praesidium      0.074% (55.8%) 
  197 sequor          0.074% (55.9%) 
  198 liceo           0.074% (56.0%) 
  199 saepis          0.073% (56.0%) 
  200 praetor         0.073% (56.1%) 
  201 multo           0.072% (56.2%) 
  202 consilium       0.072% (56.3%) 
  203 credo           0.071% (56.3%) 
  204 animo           0.071% (56.4%) 
  205 semper          0.071% (56.5%) 
  206 cognosco        0.070% (56.5%) 
  207 pater           0.070% (56.6%) 
  208 potis           0.069% (56.7%) 
  209 periculum       0.069% (56.7%) 
  210 populo          0.069% (56.8%) 
  211 gravis          0.069% (56.9%) 
  212 annus           0.069% (57.0%) 
  213 milito          0.068% (57.0%) 
  214 propter         0.068% (57.1%) 
  215 prior           0.068% (57.2%) 
  216 equito          0.067% (57.2%) 
  217 socius          0.067% (57.3%) 
  218 longus          0.067% (57.4%) 
  219 aliquis         0.067% (57.4%) 
  220 pax             0.067% (57.5%) 
  221 refero          0.066% (57.6%) 
  222 reliquus        0.066% (57.6%) 
  223 Q.              0.066% (57.7%) 
  224 filius          0.065% (57.8%) 
  225 vinco           0.065% (57.8%) 
  226 opus            0.064% (57.9%) 
  227 domus           0.064% (57.9%) 
